"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2020-09-20,"1:00","Away","BUF","AFC East","MIA","AFC East",-5.5,42.5,31,28,"No",3,59,"O","Underdog","Favorite","MIA","BUF"
2020-09-20,"1:00","Away","SF","NFC West","NYJ","AFC East",-7,41.5,31,13,"No",18,44,"O","Favorite","Favorite","SF","SF"
2020-09-20,"1:00","Home","PHI","NFC East","LA","NFC West",-2,46,19,37,"No",-18,56,"O","Underdog","Underdog","LA","LA"
2020-09-20,"1:00","Home","PIT","AFC North","DEN","AFC West",-6,41,26,21,"No",5,47,"O","Underdog","Favorite","DEN","PIT"
2020-09-20,"1:00","Home","TB","NFC South","CAR","NFC South",-7.5,47,31,17,"No",14,48,"O","Favorite","Favorite","TB","TB"
2020-09-20,"1:00","Home","TEN","AFC South","JAC","AFC South",-7,44.5,33,30,"No",3,63,"O","Underdog","Favorite","JAC","TEN"
2020-09-20,"4:04","Home","ARI","NFC West","WAS","NFC East",-7.5,46.5,30,15,"No",15,45,"U","Favorite","Favorite","ARI","ARI"
2020-09-20,"4:25","Away","BAL","AFC North","HOU","AFC South",-7.5,49.5,33,16,"No",17,49,"U","Favorite","Favorite","BAL","BAL"
2020-09-20,"4:25","Away","KC","AFC West","LAC","AFC West",-8.5,47,23,20,"Yes",3,43,"U","Underdog","Favorite","LAC","KC"
2020-09-20,"8:20","Home","SEA","NFC West","NE","AFC East",-4,45,35,30,"No",5,65,"O","Favorite","Favorite","SEA","SEA"
2020-09-21,"8:15","Away","NO","NFC South","LV","AFC West",-4,47.5,24,34,"No",-10,58,"O","Underdog","Underdog","LV","LV"
2020-09-24,"8:20","Home","JAC","AFC South","MIA","AFC East",-2.5,49.5,13,31,"No",-18,44,"U","Underdog","Underdog","MIA","MIA"
2020-09-27,"1:00","Home","ATL","NFC South","CHI","NFC North",-2.5,46,26,30,"No",-4,56,"O","Underdog","Underdog","CHI","CHI"
2020-09-27,"1:00","Home","BUF","AFC East","LA","NFC West",-1.5,46.5,35,32,"No",3,67,"O","Favorite","Favorite","BUF","BUF"
2020-09-27,"1:00","Home","CLE","AFC North","WAS","NFC East",-7.5,45,34,20,"No",14,54,"O","Favorite","Favorite","CLE","CLE"
2020-09-27,"1:00","Away","TEN","AFC South","MIN","NFC North",-3,49.5,31,30,"No",1,61,"O","Underdog","Favorite","MIN","TEN"
2020-09-27,"1:00","Home","NE","AFC East","LV","AFC West",-7,47,36,20,"No",16,56,"O","Favorite","Favorite","NE","NE"
2020-09-27,"1:00","Away","SF","NFC West","NYG","NFC East",-3,44,36,9,"No",27,45,"O","Favorite","Favorite","SF","SF"
2020-09-27,"1:00","Home","PHI","NFC East","CIN","AFC North",-5.5,46.5,23,23,"Yes",0,46,"U","Underdog","Tie","CIN","Tie"
2020-09-27,"1:00","Home","PIT","AFC North","HOU","AFC South",-3.5,46.5,28,21,"No",7,49,"O","Favorite","Favorite","PIT","PIT"
2020-09-27,"4:04","Home","IND","AFC South","NYJ","AFC East",-12.5,44,36,7,"No",29,43,"U","Favorite","Favorite","IND","IND"
2020-09-27,"4:04","Home","LAC","AFC West","CAR","NFC South",-6,43.5,16,21,"No",-5,37,"U","Underdog","Underdog","CAR","CAR"
2020-09-27,"4:25","Home","ARI","NFC West","DET","NFC North",-4.5,55.5,23,26,"No",-3,49,"U","Underdog","Underdog","DET","DET"
2020-09-27,"4:25","Away","TB","NFC South","DEN","AFC West",-6,42.5,28,10,"No",18,38,"U","Favorite","Favorite","TB","TB"
2020-09-27,"4:25","Home","SEA","NFC West","DAL","NFC East",-5.5,58,38,31,"No",7,69,"O","Favorite","Favorite","SEA","SEA"
2020-09-27,"8:20","Home","NO","NFC South","GB","NFC North",-3.5,52,30,37,"No",-7,67,"O","Underdog","Underdog","GB","GB"
2020-09-28,"8:15","Home","BAL","AFC North","KC","AFC West",-3.5,55,20,34,"No",-14,54,"U","Underdog","Underdog","KC","KC"
2020-10-01,"8:20","Home","NYJ","AFC East","DEN","AFC West",-1,41,28,37,"No",-9,65,"O","Underdog","Underdog","DEN","DEN"
2020-10-04,"1:00","Away","ARI","NFC West","CAR","NFC South",-3,52.5,21,31,"No",-10,52,"U","Underdog","Underdog","CAR","CAR"
2020-10-04,"1:00","Away","IND","AFC South","CHI","NFC North",-3.5,43.5,19,11,"No",8,30,"U","Favorite","Favorite","IND","IND"
2020-10-04,"1:00","Home","CIN","AFC North","JAC","AFC South",-1,50,33,25,"No",8,58,"O","Favorite","Favorite","CIN","CIN"
2020-10-04,"1:00","Home","DAL","NFC East","CLE","AFC North",-3.5,56.5,38,49,"No",-11,87,"O","Underdog","Underdog","CLE","CLE"
2020-10-04,"1:00","Away","NO","NFC South","DET","NFC North",-3,51.5,35,29,"No",6,64,"O","Favorite","Favorite","NO","NO"
2020-10-04,"1:00","Home","HOU","AFC South","MIN","NFC North",-3.5,52.5,23,31,"No",-8,54,"O","Underdog","Underdog","MIN","MIN"
2020-10-04,"1:00","Away","SEA","NFC West","MIA","AFC East",-4.5,55,31,23,"No",8,54,"U","Favorite","Favorite","SEA","SEA"
2020-10-04,"1:00","Home","TB","NFC South","LAC","AFC West",-7.5,42.5,38,31,"No",7,69,"O","Underdog","Favorite","LAC","TB"
2020-10-04,"1:00","Away","BAL","AFC North","WAS","NFC East",-14.5,45,31,17,"No",14,48,"O","Underdog","Favorite","WAS","BAL"
2020-10-04,"4:04","Home","LA","NFC West","NYG","NFC East",-13.5,50,17,9,"No",8,26,"U","Underdog","Favorite","NYG","LA"
2020-10-04,"4:25","Away","BUF","AFC East","LV","AFC West",-3,53,30,23,"No",7,53,"P","Favorite","Favorite","BUF","BUF"
2020-10-04,"8:20","Home","SF","NFC West","PHI","NFC East",-8.5,45.5,20,25,"No",-5,45,"U","Underdog","Underdog","PHI","PHI"
2020-10-05,"7:05","Home","KC","AFC West","NE","AFC East",-11,48.5,26,10,"No",16,36,"U","Favorite","Favorite","KC","KC"
2020-10-05,"8:15","Home","GB","NFC North","ATL","NFC South",-5,56.5,30,16,"No",14,46,"U","Favorite","Favorite","GB","GB"
2020-10-08,"8:20","Away","TB","NFC South","CHI","NFC North",-3.5,44,19,20,"No",-1,39,"U","Underdog","Underdog","CHI","CHI"
2020-10-11,"1:00","Home","ATL","NFC South","CAR","NFC South",-2.5,53.5,16,23,"No",-7,39,"U","Underdog","Underdog","CAR","CAR"
2020-10-11,"1:00","Home","BAL","AFC North","CIN","AFC North",-12.5,49,27,3,"No",24,30,"U","Favorite","Favorite","BAL","BAL"
2020-10-11,"1:00","Home","HOU","AFC South","JAC","AFC South",-6.5,55,30,14,"No",16,44,"U","Favorite","Favorite","HOU","HOU"
2020-10-11,"1:00","Home","KC","AFC West","LV","AFC West",-11,54.5,32,40,"No",-8,72,"O","Underdog","Underdog","LV","LV"
2020-10-11,"1:00","Away","ARI","NFC West","NYJ","AFC East",-7,48.5,30,10,"No",20,40,"U","Favorite","Favorite","ARI","ARI"
2020-10-11,"1:00","Home","PIT","AFC North","PHI","NFC East",-7.5,44,38,29,"No",9,67,"O","Favorite","Favorite","PIT","PIT"
2020-10-11,"1:00","Away","LA","NFC West","WAS","NFC East",-7,45,30,10,"No",20,40,"U","Favorite","Favorite","LA","LA"
2020-10-11,"4:04","Home","SF","NFC West","MIA","AFC East",-8.5,50.5,17,43,"No",-26,60,"O","Underdog","Underdog","MIA","MIA"
2020-10-11,"4:25","Home","CLE","AFC North","IND","AFC South",-1,48.5,32,23,"No",9,55,"O","Favorite","Favorite","CLE","CLE"
2020-10-11,"4:25","Home","DAL","NFC East","NYG","NFC East",-7.5,52,37,34,"No",3,71,"O","Underdog","Favorite","NYG","DAL"
2020-10-11,"8:20","Home","SEA","NFC West","MIN","NFC North",-6.5,54,27,26,"No",1,53,"U","Underdog","Favorite","MIN","SEA"
2020-10-12,"8:15","Home","NO","NFC South","LAC","AFC West",-7,49.5,30,27,"Yes",3,57,"O","Underdog","Favorite","LAC","NO"
2020-10-13,"7:00","Away","BUF","AFC East","TEN","AFC South",-3,52,16,42,"No",-26,58,"O","Underdog","Underdog","TEN","TEN"
2020-10-18,"1:00","Home","CAR","NFC South","CHI","NFC North",-2,45,16,23,"No",-7,39,"U","Underdog","Underdog","CHI","CHI"
2020-10-18,"1:00","Home","IND","AFC South","CIN","AFC North",-7.5,46,31,27,"No",4,58,"O","Underdog","Favorite","CIN","IND"
2020-10-18,"1:00","Away","DET","NFC North","JAC","AFC South",-3,52.5,34,16,"No",18,50,"U","Favorite","Favorite","DET","DET"
2020-10-18,"1:00","Home","MIN","NFC North","ATL","NFC South",-3.5,53.5,23,40,"No",-17,63,"O","Underdog","Underdog","ATL","ATL"
2020-10-18,"1:00","Home","NE","AFC East","DEN","AFC West",-7,43.5,12,18,"No",-6,30,"U","Underdog","Underdog","DEN","DEN"
2020-10-18,"1:00","Home","NYG","NFC East","WAS","NFC East",-2,42.5,20,19,"No",1,39,"U","Underdog","Favorite","WAS","NYG"
2020-10-18,"1:00","Away","BAL","AFC North","PHI","NFC East",-10.5,46.5,30,28,"No",2,58,"O","Underdog","Favorite","PHI","BAL"
2020-10-18,"1:00","Home","PIT","AFC North","CLE","AFC North",-3,50,38,7,"No",31,45,"U","Favorite","Favorite","PIT","PIT"
2020-10-18,"1:00","Home","TEN","AFC South","HOU","AFC South",-4,52,42,36,"Yes",6,78,"O","Favorite","Favorite","TEN","TEN"
2020-10-18,"4:04","Home","MIA","AFC East","NYJ","AFC East",-10,46,24,0,"No",24,24,"U","Favorite","Favorite","MIA","MIA"
2020-10-18,"4:25","Away","GB","NFC North","TB","NFC South",-3,55,10,38,"No",-28,48,"U","Underdog","Underdog","TB","TB"
2020-10-18,"8:20","Away","LA","NFC West","SF","NFC West",-2.5,51,16,24,"No",-8,40,"U","Underdog","Underdog","SF","SF"
2020-10-19,"5:00","Away","KC","AFC West","BUF","AFC East",-5.5,55,26,17,"No",9,43,"U","Favorite","Favorite","KC","KC"
2020-10-19,"8:15","Home","DAL","NFC East","ARI","NFC West",-1,55.5,10,38,"No",-28,48,"U","Underdog","Underdog","ARI","ARI"
2020-10-22,"8:20","Home","PHI","NFC East","NYG","NFC East",-5,44.5,22,21,"No",1,43,"U","Underdog","Favorite","NYG","PHI"
2020-10-25,"1:00","Home","ATL","NFC South","DET","NFC North",-1,54,22,23,"No",-1,45,"U","Underdog","Underdog","DET","DET"
2020-10-25,"1:00","Away","CLE","AFC North","CIN","AFC North",-4.5,50,37,34,"No",3,71,"O","Underdog","Favorite","CIN","CLE"
2020-10-25,"1:00","Away","GB","NFC North","HOU","AFC South",-2.5,55.5,35,20,"No",15,55,"U","Favorite","Favorite","GB","GB"
2020-10-25,"1:00","Home","NO","NFC South","CAR","NFC South",-7,49.5,27,24,"No",3,51,"O","Underdog","Favorite","CAR","NO"
2020-10-25,"1:00","Away","BUF","AFC East","NYJ","AFC East",-9.5,47,18,10,"No",8,28,"U","Underdog","Favorite","NYJ","BUF"
2020-10-25,"1:00","Home","TEN","AFC South","PIT","AFC North",-1,51,24,27,"No",-3,51,"P","Underdog","Underdog","PIT","PIT"
2020-10-25,"1:00","Away","DAL","NFC East","WAS","NFC East",-1,44.5,3,25,"No",-22,28,"U","Underdog","Underdog","WAS","WAS"
2020-10-25,"4:04","Away","TB","NFC South","LV","AFC West",-3.5,51.5,45,20,"No",25,65,"O","Favorite","Favorite","TB","TB"
2020-10-25,"4:25","Away","KC","AFC West","DEN","AFC West",-7,46,43,16,"No",27,59,"O","Favorite","Favorite","KC","KC"
2020-10-25,"4:25","Home","LAC","AFC West","JAC","AFC South",-8,48,39,29,"No",10,68,"O","Favorite","Favorite","LAC","LAC"
2020-10-25,"4:25","Home","NE","AFC East","SF","NFC West",-3,44.5,6,33,"No",-27,39,"U","Underdog","Underdog","SF","SF"
2020-10-25,"8:20","Away","SEA","NFC West","ARI","NFC West",-3.5,55.5,34,37,"Yes",-3,71,"O","Underdog","Underdog","ARI","ARI"
2020-10-26,"8:15","Home","LA","NFC West","CHI","NFC North",-6.5,44,24,10,"No",14,34,"U","Favorite","Favorite","LA","LA"
2020-10-29,"8:20","Home","CAR","NFC South","ATL","NFC South",-1.5,52,17,25,"No",-8,42,"U","Underdog","Underdog","ATL","ATL"
2020-11-01,"1:00","Home","BAL","AFC North","PIT","AFC North",-4,44,24,28,"No",-4,52,"O","Underdog","Underdog","PIT","PIT"
2020-11-01,"1:00","Home","BUF","AFC East","NE","AFC East",-4,41,24,21,"No",3,45,"O","Underdog","Favorite","NE","BUF"
2020-11-01,"1:00","Away","TEN","AFC South","CIN","AFC North",-7.5,49.5,20,31,"No",-11,51,"O","Underdog","Underdog","CIN","CIN"
2020-11-01,"1:00","Home","CLE","AFC North","LV","AFC West",-1,48,6,16,"No",-10,22,"U","Underdog","Underdog","LV","LV"
2020-11-01,"1:00","Away","IND","AFC South","DET","NFC North",-3.5,49,41,21,"No",20,62,"O","Favorite","Favorite","IND","IND"
