"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","Team"
2019-08-29,"NO",19,32,60.5333333333333,203,6.53333333333333,11.4,1,0.666666666666667,2.66666666666667,15.3333333333333,84.3666666666667,10,30,101,3.53333333333333,1.33333333333333,6,16.6666666666667,56.3333333333333,38.6666666666667,17.6666666666667,3.66666666666667,23.6666666666667,0.333333333333333,0,1,0.666666666666667,0,3.66666666666667,0,8.66666666666667,2.33333333333333,2.33333333333333,100,47.6666666666667,1.66666666666667,2,75,3.33333333333333,60.3333333333333,17.5,0,22,4,11.3333333333333,4.43333333333333,0,7.33333333333333,5,232,46.3333333333333,21,4.33333333333333,13.6666666666667,33.6333333333333,0,0.333333333333333,0,10,86,304,0,0.333333333333333,"MIA"
2019-09-08,"BAL",19.75,31.25,64.375,209.25,6.875,11.15,1,0.5,2.25,11.75,90.7,11,30,105,3.625,1,6,15.75,55.75,37.5,18.25,3.25,18.25,0.25,0,1,0.5,0,3,0,9,2.5,2.5,100,47.25,1.5,1.75,83.3333333333333,2.5,45.25,17.5,0,16.5,3.5,10.25,4.2,0,7.25,4.5,210.75,47,21,5,13.75,37.725,0.25,0.5,25,9,78,314.25,0,0.25,"MIA"
2019-09-15,"NE",18.8,31.4,60.88,203.2,6.62,11.46,1,0.8,2.4,11.6,82.62,10.8,26.4,88.2,3.26,0.8,5,24.4,60.6,37.8,22.8,2.8,14.8,0.2,0,0.8,0.4,0,2.6,0,8,2.2,2.2,100,48.6,1.4,1.6,87.5,2.6,48,18.05,0,17.8,3,8.2,3.36,0,5.8,4.8,233,48.34,19.2,4.6,13,36.18,0.2,0.4,20,9,75.2,291.4,-0.6,0.4,"MIA"
2019-09-22,"DAL",18.6666666666667,32.6666666666667,58.4333333333333,193,6.11666666666667,11.2666666666667,0.833333333333333,1.33333333333333,3.16666666666667,17,72.3166666666667,10.1666666666667,24.5,80.5,3.18333333333333,0.666666666666667,4.66666666666667,27.5,61.6666666666667,37.6666666666667,24,2.66666666666667,13.8333333333333,0.166666666666667,0,0.833333333333333,0.5,0,2.66666666666667,0,6.66666666666667,1.83333333333333,1.83333333333333,100,40.5,1.16666666666667,1.33333333333333,87.5,2.33333333333333,46.5,22.24,0,21.3333333333333,2.83333333333333,7.66666666666667,3.21666666666667,0,5.66666666666667,5.16666666666667,243.833333333333,47.3833333333333,17.8333333333333,4.16666666666667,13.3333333333333,32.3666666666667,0.5,1,25,8.16666666666667,66.3333333333333,273.5,-1,0.333333333333333,"MIA"
2019-09-29,"LAC",18.8571428571429,33.8571428571429,57.0571428571429,195.571428571429,5.97142857142857,11.2857142857143,0.714285714285714,1.14285714285714,3.14285714285714,17.1428571428571,71.4142857142857,10.4285714285714,24.4285714285714,79.2857142857143,3.15714285714286,0.571428571428571,4.28571428571429,28,60.7142857142857,38.1428571428571,22.5714285714286,2.42857142857143,12.5714285714286,0.285714285714286,0,0.714285714285714,0.428571428571429,0,2.85714285714286,0,6.57142857142857,1.85714285714286,2,94.45,39.4285714285714,1,1.14285714285714,87.5,2.14285714285714,43.5714285714286,22.8666666666667,0,22,2.71428571428571,6.71428571428571,2.82857142857143,0,5,5.14285714285714,240.285714285714,46.8714285714286,17.7142857142857,4,13.5714285714286,30.6,0.571428571428571,1.28571428571429,26.1857142857143,7.71428571428571,61.8571428571429,274.857142857143,-0.857142857142857,0.428571428571429,"MIA"
2019-10-13,"WAS",18.625,32.625,58.775,191.25,6.0625,11.2,0.75,1.125,3.375,17.375,73.6,10.125,23.625,78.375,3.2625,0.5,4.125,28.25,61.125,38.5,22.625,2.25,11.75,0.25,0,0.625,0.375,0,2.875,0,6.25,1.75,2.125,85.7142857142857,38.25,1,1.125,90,2.5,52.125,22.8,0,22.875,2.375,5.875,2.82857142857143,0,4.375,4.75,223.125,47.45,17.125,4.125,13.125,33.025,0.5,1.25,22.9125,7.375,60.75,269.625,-0.875,0.375,"MIA"
2019-10-20,"BUF",19.5555555555556,33.7777777777778,59.2222222222222,190.777777777778,5.86666666666667,10.8444444444444,0.777777777777778,1.22222222222222,3.55555555555556,18.7777777777778,72.5111111111111,10.1111111111111,23.3333333333333,79,3.34444444444444,0.555555555555556,4.44444444444444,27,60.6666666666667,37.2222222222222,23.4444444444444,2,10.4444444444444,0.222222222222222,0,0.555555555555556,0.333333333333333,0,3,0,6,1.66666666666667,2,87.5,38.3333333333333,1,1.11111111111111,91.6666666666667,2.33333333333333,48,21.825,0,22,2.55555555555556,9.88888888888889,3.7875,0,6.22222222222222,5,232.777777777778,47.1,17.5555555555556,4,13.2222222222222,31.7333333333333,0.666666666666667,1.33333333333333,31.4777777777778,7.11111111111111,59,269.777777777778,-1,0.333333333333333,"MIA"
2019-10-28,"PIT",19.9,33.9,59.87,198.9,6.06,10.99,0.8,1.2,3.3,17.9,74.06,10.4,24,82,3.37,0.7,4.8,27.4,59.5,37.2,22.3,2,10.8,0.2,0,0.5,0.3,0,2.8,0,5.7,1.5,1.8,87.5,34.5,1.2,1.3,92.8571428571429,2.2,44.4,20.7333333333333,0,21,2.4,10.8,5.47777777777778,0,7.5,4.9,229.1,47.29,18.2,4.3,13.2,33.94,0.8,1.4,38.33,7,58.6,280.9,-1.1,0.4,"MIA"
2019-11-03,"NYJ",20,33.9090909090909,60.0454545454545,196.272727272727,5.96363636363636,10.8090909090909,0.909090909090909,1.27272727272727,3.36363636363636,18.0909090909091,73.8636363636364,10.4545454545455,23.5454545454545,80,3.35454545454545,0.636363636363636,4.72727272727273,27.3636363636364,59.7272727272727,38,21.7272727272727,2,11.1818181818182,0.272727272727273,0,0.545454545454545,0.272727272727273,0,3.27272727272727,0,5.36363636363636,1.36363636363636,1.63636363636364,87.5,31.3636363636364,1.27272727272727,1.36363636363636,93.75,2.36363636363636,47.9090909090909,20.74,0,21.2727272727273,2.45454545454545,13,6.1,0,8.54545454545454,4.63636363636364,216.727272727273,47.2181818181818,18,4.18181818181818,12.7272727272727,34.2636363636364,0.727272727272727,1.45454545454545,34.8454545454545,6.81818181818182,57.3636363636364,276.272727272727,-1.27272727272727,0.545454545454545,"MIA"
2019-11-10,"IND",20.3333333333333,34.0833333333333,60.6,202.083333333333,6.08333333333333,10.9083333333333,1.08333333333333,1.16666666666667,3.41666666666667,18.4166666666667,77.6083333333333,10.9166666666667,23.5833333333333,77.5,3.25,0.583333333333333,4.58333333333333,26.5833333333333,59.9166666666667,37.4166666666667,22.5,2.08333333333333,12.0833333333333,0.333333333333333,0,0.5,0.25,0,3.16666666666667,0.0833333333333333,5.41666666666667,1.33333333333333,1.66666666666667,83.3333333333333,30.9166666666667,1.41666666666667,1.5,94.4444444444444,2.5,48.0833333333333,19.9909090909091,0,21.3333333333333,2.41666666666667,13.5,6.40909090909091,0,8.66666666666667,4.58333333333333,212.5,46.7416666666667,18.3333333333333,4.33333333333333,12.6666666666667,35.575,0.666666666666667,1.33333333333333,31.9416666666667,6.75,56.8333333333333,279.583333333333,-1.08333333333333,0.5,"MIA"
2019-11-17,"BUF",20.3846153846154,34,60.8307692307692,198.769230769231,5.98461538461538,10.6846153846154,1,1.15384615384615,3.38461538461538,17.7692307692308,76.5461538461538,10.9230769230769,23.7692307692308,76.9230769230769,3.20769230769231,0.615384615384615,4.30769230769231,25.4615384615385,59.6153846153846,37.9230769230769,21.6923076923077,2,12.1538461538462,0.538461538461538,0,0.538461538461538,0.230769230769231,0,3.61538461538462,0.0769230769230769,5.76923076923077,1.46153846153846,1.76923076923077,85,32.2307692307692,1.38461538461538,1.46153846153846,95,2.30769230769231,44.3846153846154,19.9909090909091,0,19.6923076923077,2.38461538461538,13.6923076923077,6.54166666666667,0,8.76923076923077,4.61538461538461,213.615384615385,46.6384615384615,17.9230769230769,4.46153846153846,12.9230769230769,35.7230769230769,0.692307692307692,1.38461538461538,33.3307692307692,6.53846153846154,54.7692307692308,275.692307692308,-0.923076923076923,0.538461538461538,"MIA"
2019-11-24,"CLE",21.2142857142857,34.7857142857143,61.5642857142857,204.571428571429,6,10.6428571428571,0.928571428571429,1.07142857142857,3.64285714285714,19.5714285714286,77.6,11.0714285714286,23,73.0714285714286,3.10714285714286,0.714285714285714,4.21428571428571,26.2857142857143,60.2142857142857,37.9285714285714,22.2857142857143,1.85714285714286,11.2857142857143,0.5,0,0.642857142857143,0.214285714285714,0,3.5,0.0714285714285714,5.5,1.35714285714286,1.64285714285714,85,29.9285714285714,1.42857142857143,1.5,95.4545454545455,2.5,55.3571428571429,21.625,0.0714285714285714,25.5,2.21428571428571,12.7142857142857,6.54166666666667,0,8.14285714285714,4.71428571428571,217.071428571429,46.4285714285714,18,4.42857142857143,13,35.2142857142857,0.714285714285714,1.57142857142857,32.7357142857143,6.5,54,277.642857142857,-0.928571428571429,0.571428571428571,"MIA"
2019-12-01,"PHI",21.2,35.0666666666667,61.0466666666667,203.733333333333,5.92666666666667,10.6133333333333,1,1.13333333333333,3.66666666666667,19.7333333333333,76.7933333333333,11.2666666666667,22.8,74.3333333333333,3.20666666666667,0.733333333333333,4.26666666666667,27.2666666666667,60.4,37.8666666666667,22.5333333333333,1.8,11,0.533333333333333,0,0.6,0.2,0,3.46666666666667,0.0666666666666667,5.53333333333333,1.33333333333333,1.6,86.3636363636364,30.3333333333333,1.53333333333333,1.6,95.8333333333333,2.6,57.1333333333333,21.5384615384615,0.0666666666666667,25.4666666666667,2.13333333333333,11.8666666666667,6.03846153846154,0,7.6,4.66666666666667,214.466666666667,46.3,18.2666666666667,4.53333333333333,13.0666666666667,35.7266666666667,0.666666666666667,1.53333333333333,30.5533333333333,6.6,56.6666666666667,278.066666666667,-0.933333333333333,0.533333333333333,"MIA"
