"Date","Favorite","Underdog","Fav.Comp","Fav.PassAtt","Fav.CompPCT","Fav.PassYds","Fav.PassYPA","Fav.PassYPR","Fav.PassTD","Fav.OINT","Fav.OSCK","Fav.OSCKYDS","Fav.QBR","Fav.P1st","Fav.RushAtt","Fav.RushYds","Fav.RushYPA","Fav.RushTD","Fav.R1st","Fav.PA","Fav.Tckl","Fav.Solo","Fav.AstTckl","Fav.DSck","Fav.DSCKYds","Fav.INT","Fav.INTTD","Fav.FF","Fav.FumRec","Fav.FumTD","Fav.PassDef","Fav.Sfty","Fav.KPts","Fav.FGM","Fav.FGA","Fav.FGPct","Fav.FGLng","Fav.XPM","Fav.XPA","Fav.XPPct","Fav.KR","Fav.KRYds","Fav.KRAvg","Fav.KRTD","Fav.KRLng","Fav.PR","Fav.PRYds","Fav.PRAvg","Fav.PRTD","Fav.PRLng","Fav.Punts","Fav.PuntYds","Fav.PuntAvg","Fav.X1st","Fav.X3rdCon","Fav.X3rdAtt","Fav.X3rdPct","Fav.X4thCon","Fav.X4thAtt","Fav.X4thPct","Fav.Pen","Fav.PenYds","Fav.TotYds","Fav.PlusMinus","Fav.FUML.turnovers","Fav.PF"
2020-09-20,"SF","NYJ",19,33,57.6,243,7.4,13.6,2,0,3,16,103,10,25,123,4.9,0,6,24,72,48,24,2,6,1,0,2,0,0,5,0,8,2,2,100,52,2,2,100,1,16,16,0,16,3,29,9.7,0,12,5,178,35.6,18,2,11,18.2,0,2,0,5,53,366,1,0,20
2020-09-20,"PHI","LA",24,42,57.1,208,5,11.3,2,2,8,62,72.5,13,17,57,3.4,0,3,27,60,40,20,3,19,0,0,1,0,0,4,0,5,1,2,50,38,2,2,100,0,0,NA,0,0,3,14,4.7,0,8,5,268,53.6,19,5,14,35.7,0,2,0,3,20,265,-3,1,17
2020-09-20,"PIT","DEN",21,32,65.6,208,6.5,10.9,3,0,2,21,117.8,14,30,141,4.7,0,5,16,52,41,11,3,17,2,0,0,0,0,5,0,8,2,2,100,41,2,3,66.7,1,33,33,0,33,3,13,4.3,0,12,4,183,45.8,19,8,15,53.3,1,1,100,3,21,349,1,1,26
2020-09-20,"TB","CAR",23,36,63.9,224,6.2,10.4,2,2,3,15,78.4,10,26,86,3.3,1,7,34,62,40,22,1,9,0,0,0,0,0,3,0,5,1,2,50,38,2,2,100,1,0,0,0,0,1,0,0,0,0,5,236,47.2,23,5,13,38.5,1,1,100,9,103,310,-3,1,23
2020-09-20,"TEN","JAC",29,43,67.4,247,5.7,8.6,2,0,1,2,97.9,17,34,130,3.8,0,6,14,54,38,16,0,0,0,0,2,1,0,2,0,4,1,4,25,25,1,2,50,1,19,19,0,19,3,19,6.3,0,11,4,204,51,26,7,16,43.8,1,1,100,5,37,377,1,0,16
2020-09-20,"ARI","WAS",26,40,65,224,5.6,8.8,1,1,2,6,78.1,12,36,180,5,2,13,20,54,38,16,3,16,0,0,0,0,0,4,0,6,1,3,33.3,56,3,3,100,1,42,42,0,42,2,8,4,0,8,4,191,47.8,29,7,14,50,0,0,0,9,102,404,-1,0,24
2020-09-20,"BAL","HOU",21,26,80.8,270,10.4,13.5,3,0,2,14,150.6,16,30,111,3.7,2,7,6,62,37,25,2,21,1,0,3,2,0,8,0,8,1,1,100,41,5,5,100,2,64,32,0,38,2,26,13,0,17,3,125,41.7,23,6,11,54.5,0,0,0,7,66,381,2,1,38
2020-09-20,"KC","LAC",24,32,75,203,6.3,8.8,3,0,1,8,123.3,16,34,166,4.9,1,9,20,48,36,12,4,11,1,0,0,0,0,2,0,10,2,2,100,29,4,4,100,2,48,24,0,28,0,0,NA,0,0,3,136,45.3,28,7,13,53.8,1,1,100,1,5,369,1,0,34
2020-09-20,"SEA","NE",31,35,88.6,299,8.5,10.4,4,0,3,23,143.1,15,20,84,4.2,1,6,25,66,43,23,2,16,1,0,1,1,0,7,0,8,1,1,100,42,5,5,100,2,43,21.5,0,24,1,15,15,0,15,4,191,47.8,22,3,9,33.3,1,1,100,6,46,383,2,0,38
2020-09-21,"NO","LV",19,31,61.3,189,6.1,10.4,2,0,1,9,101.3,10,34,82,2.4,1,5,23,57,44,13,3,15,2,1,1,1,0,5,0,10,2,2,100,29,4,4,100,0,0,NA,0,0,4,59,14.8,0,18,6,264,44,18,5,15,33.3,0,1,0,6,119,271,3,0,34
2020-09-24,"JAC","MIA",24.5,32.5,80.85,232.5,7.25,10.2,3,1,3,23.5,117.5,15.5,25,128,5.05,0.5,6.5,26.5,63.5,41.5,22,1,7,1,0,0,0,0,3.5,0,7.5,1.5,1.5,100,42.5,3,3.5,87.5,1.5,25,12.5,0,19.5,0.5,0,0,0,0,2.5,108,42.65,23.5,7.5,12,60.7,0.5,0.5,50,7,60.5,360.5,0,0,28.5
2020-09-27,"ATL","CHI",30.5,45.5,66.7,350.5,7.6,11.8,3,0.5,1.5,11,110.7,19,27.5,92.5,3.35,0.5,4.5,39,68,41.5,26.5,2,14,0,0,2,1.5,0,2.5,0,11,3,3,100,45.5,2,2.5,75,1.5,31,20.7,0,12.5,0.5,4,8,0,4,3,129,44.75,25,7.5,15.5,48.55,1,3,50,7,61.5,443,0.5,0.5,32
