"Date","Favorite","Underdog","Fav.Comp","Fav.PassAtt","Fav.CompPCT","Fav.PassYds","Fav.PassYPA","Fav.PassYPR","Fav.PassTD","Fav.OINT","Fav.OSCK","Fav.OSCKYDS","Fav.QBR","Fav.P1st","Fav.RushAtt","Fav.RushYds","Fav.RushYPA","Fav.RushTD","Fav.R1st","Fav.PA","Fav.Tckl","Fav.Solo","Fav.AstTckl","Fav.DSck","Fav.DSCKYds","Fav.INT","Fav.INTTD","Fav.FF","Fav.FumRec","Fav.FumTD","Fav.PassDef","Fav.Sfty","Fav.KPts","Fav.FGM","Fav.FGA","Fav.FGPct","Fav.FGLng","Fav.XPM","Fav.XPA","Fav.XPPct","Fav.KR","Fav.KRYds","Fav.KRAvg","Fav.KRTD","Fav.KRLng","Fav.PR","Fav.PRYds","Fav.PRAvg","Fav.PRTD","Fav.PRLng","Fav.Punts","Fav.PuntYds","Fav.PuntAvg","Fav.1st","Fav.3rdCon","Fav.3rdAtt","Fav.3rdPct","Fav.4thCon","Fav.4thAtt","Fav.4thPct","Fav.Pen","Fav.PenYds","Fav.TotYds","Fav.PlusMinus","Fav.FUML.turnovers"
2018-09-09,"ARI","WAS",14.25,25.75,54.6,117.5,4.35,8.9,0.75,0.25,1.75,11,73.8,6.5,23.75,87.75,3.65,0.75,3.5,14,59,45.25,13.75,3.5,24.25,1.75,0.25,2,2.5,0.5,4.5,0,6.75,1.5,2,83.35,0,2.25,2.25,100,2,45,21.7666666666667,0,18.75,2.75,32.25,11.925,0,19.5,7.25,337.75,46.575,11.75,2.75,12.5,21.1,0.25,0.25,25,9.5,84.25,205.25,0,0.25
2018-09-09,"CAR","DAL",23.5,36.25,64.75,256.25,7.3,11.825,1.5,0.5,1.75,12,94.05,13.25,27.5,117,4.15,1.75,7.5,24,55.75,37.5,18.25,1.25,8,0.5,0,0.75,0.25,0,4.5,0,6.5,1.25,1.5,66.6666666666667,0,2.75,2.75,100,3.25,65.25,20.2,0,26.75,1.75,18.75,8.925,0,14.75,4,175.75,43.75,23.75,6.25,12.75,49.05,0.5,0.75,37.5,8,74.5,373.25,0,0.5
2018-09-09,"DEN","SEA",22.25,34.75,64.125,219.75,6.35,10.45,1.25,0.75,2,12,86.525,10.75,25.75,115,4.575,1,6.25,23.25,49.5,39.75,9.75,3,19,0.5,0,0.25,0.25,0,3,0.25,8.75,2.25,2.5,88.9,0,2,2,100,2.75,62.75,23.5,0,27.25,2.75,34.75,15.05,0.25,25,4.5,205.5,45.7,19.5,6,13.75,43.575,0,0.25,0,10.25,101,334.75,0,0.25
2018-09-09,"GB","CHI",20.75,38.5,54.15,242.75,6.325,12.55,2,1,3.25,20.25,82.85,12.75,26.25,78,3.05,0.75,4.75,24.25,52,37.25,14.75,1.25,7.5,1,0.5,1.25,0.5,0,3,0,7.75,1.5,1.5,100,0,3.25,3.25,100,4.75,94.25,19.05,0,24.25,1.5,15,2.325,0,6.25,4.5,203.5,44.95,21.25,6.25,15,41.35,0.75,1.75,29.175,8.75,75.25,320.75,0,0.25
2018-09-10,"DET","NYJ",24,39.25,60.6,191.25,4.85,8.75,1,0.5,3,17.75,77.55,10.75,24,90,3.7,1,5.25,27.75,52,39.75,12.25,0.5,3.5,0.25,0,0.5,0.5,0,5,0,5.75,1.25,1.75,79.175,0,2,2,100,3,56.25,21.85,0,25.75,2.75,28.5,9.85,0.25,23.25,5.5,264.25,48.075,20.25,3.75,13,28.1,1,1.25,66.675,7,65.75,281.25,0,0.25
2018-09-10,"LA","OAK",16.25,28,57.825,96.5,3.475,7.3,0.5,1.25,2.75,21.5,54.8,5.5,28.75,99.5,3.525,0.75,5.25,24,53.5,33.5,20,2.25,14.5,0.75,0,0.75,0.75,0,5.5,0,4.25,1,1.25,80,0,1.25,1.25,100,3.5,85.5,24.7,0,26.75,2.5,27.25,10.15,0,18.25,6.5,253,39.125,13,5,15,31.775,0.25,0.75,25,8,65.5,196,0,0.75
2018-09-13,"CIN","BAL",21.6,34.2,63.72,262.8,7.68,12.42,1.8,0.8,1,6.2,95.54,12.2,26.4,94.8,3.64,0.8,4.8,20.6,61.2,45.2,16,3,21,0.8,0,0.8,0.8,0.2,5,0,10.2,2.6,2.6,100,0,2.4,2.6,93.34,2.6,60,22.42,0,27.6,2.2,15.2,4.92,0,8.4,5,224.8,45.44,20.2,4.4,12.6,35.26,0.2,0.4,20,8.8,77.6,357.6,0,0.4
2018-09-16,"ATL","CAR",17.4,34.4,50.64,185.4,5.42,11.6,0.4,1,3,15.2,60.9,8.4,21.2,72,3.44,0.4,3.6,22.8,57.8,45.6,12.2,2.6,13.8,1,0,0.2,0.6,0,3.8,0,3,0.8,1,66.6666666666667,0,0.6,0.8,66.6666666666667,2.2,48,21.925,0,21.6,2,8.2,4.2,0,5.8,6.2,284,46.14,13.4,4.2,13.6,31.3,0.2,1.8,6.66,8.8,72.6,257.4,0,0.2
2018-09-16,"LAC","BUF",20.4,31.6,66.48,194,5.58,9.66,1.2,0.6,3,20,90.12,10,27.8,127.6,4.62,0.8,7.4,26.6,51.8,34,17.8,2,10.2,0.4,0,0.6,0.6,0,4,0,5.8,1.4,1.8,79.175,0,1.6,1.6,100,2.8,70.6,26.6,0,35,2.8,22.6,7.72,0.2,21,4.6,214.6,47.06,20.4,4.8,12.6,37.52,0.4,1,30,9,87.2,321.6,0,0.8
2018-09-16,"MIN","GB",22.4,35.8,62.9,200.8,5.72,10.12,1.8,0.2,3,23.8,95.34,11.4,30.4,109,3.6,0.6,5.8,16.2,51.2,39.4,11.8,3.4,26.2,1.4,0.2,1,0.2,0,5.4,0,5.6,1.2,1.8,70,0,2,2,100,1.6,41.6,25.075,0,25.8,4,26.6,7.9,0,15.2,5.6,248.6,44.62,19.6,6,15.8,34.72,0.6,1.2,40,6.6,54,309.8,0,0.8
2018-09-16,"NO","CLE",21.8,29,73.78,217.8,7.2,10.48,1,0.8,1.8,11.8,91.24,10.4,29,132.6,4.46,2,10.2,19,56,39.2,16.8,2.8,17.4,0.6,0.2,1.2,0.6,0,4.2,0,6.2,1.6,1.6,100,0,1.4,1.4,100,2.6,71.2,26.3,0,25,2,11.4,4.2,0,6.6,2.6,125.8,48.24,22.4,4.8,11.4,41.92,1.2,1.6,80,6.4,60,350.4,0,1
2018-09-16,"NYJ","MIA",17,26.6,64.76,162,6.24,10.44,1.2,0.8,2.4,13.4,86.8,9.2,27.6,90.4,3.18,0.6,4,12.8,57.6,41.4,16.2,1.8,8,2,0.2,0.8,0.4,0,5.8,0,7.4,1.8,1.8,100,0,2,2.2,87.5,1.8,41.6,23.54,0,25.4,2.4,46.8,21.5,0.2,25.8,5.2,249.2,47.16,15,5,13.8,35.9,0.6,1.4,23.34,8.4,70.8,252.4,0,0.8
2018-09-16,"PIT","KC",19.4,31.8,61.38,248.2,8.16,14.26,2,1.4,2.6,16.8,95.36,11.4,28.8,110,3.74,1.4,6,23.2,62.8,40.4,22.4,4.2,28.2,1,0,1.6,0.8,0,4.6,0,6.6,1.4,1.6,75,0,2.4,2.4,100,2.8,57.2,18.74,0,22.2,2.6,21.2,7.875,0,9.4,5.4,236.4,44.22,20.2,4.4,12.8,34.8,0.2,0.6,20,9.6,90,358.2,0,0.6
2018-09-16,"PHI","TB",22.8,39.6,57.8,205,5.14,10.08,1.2,1.8,4.4,26.6,64.44,10.4,23.2,102.6,4.32,0.4,6.4,18.8,56.8,42.4,14.4,3.2,18.8,0.8,0,0.8,0.2,0,4.8,0,2,0.4,0.6,66.6666666666667,0,0.8,1,88.9,2.8,68.2,23.7333333333333,0,21.4,3.2,22,7.56,0,15.6,5.6,279.6,50.04,19,4.8,14.4,31.94,0.4,1.8,11.66,8.4,76.4,307.6,0,1.2
2018-09-16,"HOU","TEN",17.8,32.2,55.78,182,5.66,10.74,1.4,0.8,1.6,9.4,78.44,9.6,27.8,116.2,4.12,0.8,5.6,15.4,59.8,42.8,17,0.8,5.4,1.4,0,0.4,0.4,0,5.8,0,4.2,0.8,1.2,75,0,1.8,2,90,2.8,77.6,27.14,0,32.8,2.4,14.6,6.24,0,8.2,5.4,231.6,42.76,19.2,3,11.4,26.92,0.8,1.6,43.34,7.4,59,298.2,0,0.4
2018-09-16,"WAS","IND",19.8,30.6,64.74,213.8,6.94,11.52,1.8,0.6,3,15.4,100.22,11,28.8,133,4.64,0.2,5.8,20.8,54.6,37.6,17,1.8,8.6,0.8,0,0.4,0.4,0,5,0,6.6,1.6,2,70,0,1.8,1.8,100,2.2,36.4,17.325,0,17.8,2.6,22.4,7.42,0,13,4.4,211.6,48.18,21,3.8,12.2,30.1,0.6,1.2,33.34,7.4,56.2,346.8,0,0.6
2018-09-16,"LA","ARI",16.6,29,57.16,122.2,4.14,8.42,0.8,1,2.4,18.8,63.28,7,28.2,107.6,3.9,0.6,5.8,21.8,56.2,35.6,20.6,2,12.2,1.2,0.2,0.6,0.6,0,5.2,0,6.4,1.6,2,80,0,1.6,1.6,100,3.4,83.4,24.76,0,26.6,2.4,24.2,9.32,0,17,5.6,225.8,43,15,4.8,14.2,32.7,0.2,0.6,20,8,66.4,229.8,0,0.6
2018-09-16,"SF","DET",20.6,33.4,61.8,259,7.58,13.4,0.6,1.6,1.8,14.2,73.76,11.4,27,98.2,3.64,1.2,6,21.4,56.4,42.2,14.2,1.8,11.6,0.2,0,0.6,0.4,0,5,0,6.6,1.8,1.8,100,0,1.2,1.2,100,2.6,60,21.525,0,25.2,3.2,26.2,7.9,0,17.4,4.2,174,42,20.2,5.8,13,44.46,0.6,1,50,7.8,70.4,357.2,0,1
2018-09-16,"DEN","OAK",22.8,35.6,64.12,240.6,6.74,11,1.6,1.2,1.8,10.6,86.06,11.6,27,121.2,4.58,0.8,6.6,23.4,48.8,38.2,10.6,3.6,26.4,0.8,0,0.6,0.4,0,3.6,0.2,8.8,2.2,2.4,91.675,0,2.2,2.2,100,2.2,50.2,23.5,0,21.8,2.6,29.6,12.94,0.2,21.8,4.8,217.8,45.46,20.6,5.6,13.4,41.52,0,0.2,0,9.6,92.8,361.8,0,0.2
2018-09-16,"NE","JAC",22.8,36.2,62.8,196.6,5.42,8.92,1.4,0.6,1.2,6.2,82.62,10.2,29.6,132.2,4.48,1,7.8,18.8,65,36,29,3.4,21.8,0.8,0,0.8,0.6,0.2,5,0,7.4,1.8,2,93.34,0,2,2,100,1.8,29,17.875,0,17.2,2,5.2,1.62,0,3.2,5.6,271.2,48.3,21.6,5,14.2,35.02,0.8,1,50,6,60,328.8,0,0.8
2018-09-16,"DAL","NYG",24.4,38.2,64.18,192.4,5.08,8.76,0.6,1,3.6,21,74.38,10.2,22.6,78.4,3.44,0.4,4.8,20.4,54.4,37,17.4,1.6,8.8,0.6,0,1,0.6,0,6,0,3.8,1,1.4,60,0,0.8,0.8,100,1.4,40.2,28.4,0,18.4,2.8,10.4,3.66,0,10.8,6.4,291.8,45.68,17.2,4.4,14.2,30.44,0.2,1,20,9.8,81.2,270.8,0,1.2
2018-09-17,"CHI","SEA",24,37.3333333333333,65.8333333333333,229.333333333333,6.46666666666667,10.0166666666667,1.16666666666667,1,2,9.5,85.0666666666667,11.5,26.5,113.666666666667,4.2,1,5.83333333333333,23.6666666666667,48.5,39,9.5,4,22.8333333333333,1,0.5,0.666666666666667,0.333333333333333,0,3.5,0,8,1.83333333333333,2.33333333333333,80.5666666666667,3.66666666666667,2.5,2.5,100,2.16666666666667,45.8333333333333,20.5,0,22.5,2.5,21,7.72,0,10.8333333333333,3.83333333333333,187.833333333333,48.8666666666667,21.1666666666667,5.66666666666667,14,40.75,0.5,1.33333333333333,38.8833333333333,8.5,82.3333333333333,343,-0.333333333333333,0.666666666666667
2018-09-20,"CLE","NYJ",17,30.6666666666667,56.0833333333333,195,6.46666666666667,12.6333333333333,1,0.5,3,19.8333333333333,82.8,8.66666666666667,32.6666666666667,130.833333333333,3.98333333333333,1.16666666666667,7,14.6666666666667,58.5,40.1666666666667,18.3333333333333,3.33333333333333,20.8333333333333,1,0.166666666666667,1.33333333333333,1.16666666666667,0,5.83333333333333,0.166666666666667,4.66666666666667,1,1.5,70,0,1.66666666666667,2,80,2.66666666666667,61.5,22.9333333333333,0,26,3.66666666666667,22.5,6.6,0,10.5,7.66666666666667,324,41.7333333333333,18.1666666666667,4.16666666666667,14.6666666666667,28.3166666666667,0.666666666666667,1.33333333333333,41.6666666666667,8.33333333333333,80,325.833333333333,0,0.333333333333333
2018-09-23,"ATL","NO",18.3333333333333,33.3333333333333,55.8833333333333,199.833333333333,6.13333333333333,11.6333333333333,0.666666666666667,1,2.5,12.6666666666667,70.1,9,23,88.3333333333333,3.75,0.666666666666667,4.66666666666667,23,57.6666666666667,45.1666666666667,12.5,2.5,14.3333333333333,1,0,0.166666666666667,0.5,0,4.16666666666667,0,3.66666666666667,0.833333333333333,1,75,0,1.16666666666667,1.33333333333333,75,2.16666666666667,48.3333333333333,22.54,0,23.3333333333333,1.83333333333333,7.33333333333333,4,0,5.33333333333333,5.83333333333333,266.5,45.9166666666667,15,4.5,13.1666666666667,35.1666666666667,0.166666666666667,1.5,5.55,7.66666666666667,64.8333333333333,288.166666666667,0,0.166666666666667
2018-09-23,"BAL","DEN",20.4285714285714,33.8571428571429,60.1,204,5.9,10.9428571428571,1.85714285714286,0.714285714285714,3.42857142857143,17.5714285714286,88.5571428571429,10.8571428571429,32.4285714285714,139.714285714286,4.18571428571429,1.14285714285714,8.71428571428571,15.5714285714286,52.8571428571429,37.8571428571429,15,3.85714285714286,28,1.57142857142857,0.142857142857143,1,0.714285714285714,0,7,0,9.28571428571429,2.14285714285714,2.85714285714286,83.3428571428571,4.42857142857143,2.85714285714286,2.85714285714286,100,2,46.8571428571429,24.5142857142857,0,27.1428571428571,3.14285714285714,23.2857142857143,5.95714285714286,0,14.8571428571429,5,239.428571428571,49.5857142857143,22,4.28571428571429,13.8571428571429,29.8,0.857142857142857,1.14285714285714,64.2857142857143,7,56.5714285714286,343.714285714286,0.285714285714286,0.571428571428571
2018-09-23,"CAR","CIN",23.8333333333333,36,65.9166666666667,248.166666666667,6.98333333333333,11.2166666666667,1.5,0.5,2,13.3333333333333,93.9833333333333,13.6666666666667,26.6666666666667,122.666666666667,4.65,1.5,7.5,22.5,55.6666666666667,38.6666666666667,17,1.83333333333333,10.6666666666667,0.5,0,1,0.333333333333333,0,3.16666666666667,0,6,1.16666666666667,1.33333333333333,80,0,2.5,2.5,100,2.33333333333333,47.8333333333333,21.36,0,22.1666666666667,2.16666666666667,24.3333333333333,9.28333333333333,0,15.6666666666667,4.33333333333333,196.833333333333,45.1,23.6666666666667,5.66666666666667,12.3333333333333,45.8333333333333,0.5,0.666666666666667,41.6666666666667,8,71.1666666666667,370.833333333333,0,0.5
2018-09-23,"HOU","NYG",18.5,32.1666666666667,57.95,199.833333333333,6.21666666666667,11.3,1.5,0.833333333333333,2,11.3333333333333,83.3,10.1666666666667,27.5,121.5,4.38333333333333,0.666666666666667,5.66666666666667,16.1666666666667,59.8333333333333,42.3333333333333,17.5,0.833333333333333,5.83333333333333,1.16666666666667,0,0.5,0.333333333333333,0,5.16666666666667,0,4.33333333333333,0.833333333333333,1.33333333333333,70,0,1.83333333333333,2,91.6666666666667,2.33333333333333,64.6666666666667,27.14,0,27.3333333333333,2.66666666666667,16.3333333333333,6.25,0,8.66666666666667,5.16666666666667,220.333333333333,42.4666666666667,19.5,3.33333333333333,11.3333333333333,30.0166666666667,0.666666666666667,1.33333333333333,36.1166666666667,8,63.8333333333333,321.333333333333,0,0.333333333333333
2018-09-23,"JAC","TEN",22.1666666666667,34.3333333333333,64.5,229.833333333333,6.66666666666667,11.2,1,0.833333333333333,3.16666666666667,18.6666666666667,83.6,13.5,28.8333333333333,118.5,4.08333333333333,1.16666666666667,6.5,14.1666666666667,50.5,42.5,8,3,18.6666666666667,0.333333333333333,0.166666666666667,0.833333333333333,0.833333333333333,0.166666666666667,4.16666666666667,0,6.16666666666667,1.33333333333333,1.66666666666667,75,0,2.16666666666667,2.16666666666667,100,2.66666666666667,52,20.7666666666667,0,28.1666666666667,2.5,23,6.03333333333333,0,15.3333333333333,4.33333333333333,175.5,40.8,21.1666666666667,6.33333333333333,13.8333333333333,45.6833333333333,0.666666666666667,1,44.45,8,78.3333333333333,348.333333333333,0,0.333333333333333
2018-09-23,"KC","SF",23.3333333333333,34.8333333333333,67.6333333333333,279,8.31666666666667,12.4833333333333,2.83333333333333,0.5,1.16666666666667,3.33333333333333,110.95,14.5,22.5,80.5,3.46666666666667,0,3.83333333333333,24,52.6666666666667,37.6666666666667,15,0.833333333333333,4,0.833333333333333,0.333333333333333,0.5,0.333333333333333,0,4,0,8.16666666666667,1.66666666666667,1.66666666666667,100,0,3.16666666666667,3.16666666666667,100,2.83333333333333,68.3333333333333,23.46,0,27.8333333333333,2.33333333333333,38.3333333333333,17.2,0.166666666666667,36.1666666666667,3.33333333333333,152.833333333333,45.7,20.3333333333333,5.66666666666667,11.5,46.4166666666667,0.333333333333333,0.666666666666667,11.1166666666667,7.83333333333333,74.3333333333333,359.5,0,0.166666666666667
2018-09-23,"MIA","OAK",23.8333333333333,36,67.0833333333333,205,5.76666666666667,9.65,1.33333333333333,1.16666666666667,2.83333333333333,20.8333333333333,85.2166666666667,11.1666666666667,24.5,110,4.66666666666667,0.833333333333333,5.66666666666667,19.8333333333333,62,39.6666666666667,22.3333333333333,2.16666666666667,11.5,1.5,0,0.5,0.333333333333333,0,4.16666666666667,0,7.83333333333333,2,2.33333333333333,88.34,0,1.83333333333333,2,93.34,2.16666666666667,68.3333333333333,35.5,0.166666666666667,37.1666666666667,2.66666666666667,19.1666666666667,7.4,0,9.83333333333333,4.66666666666667,229.833333333333,49.0333333333333,19.1666666666667,3.5,12.8333333333333,25.8666666666667,0.666666666666667,1.5,22.2333333333333,5.83333333333333,43.1666666666667,315,0,0.666666666666667
2018-09-23,"MIN","BUF",24.5,37.8333333333333,64.5666666666667,236,6.2,10.45,2.16666666666667,0.333333333333333,2.83333333333333,22,99.25,12.8333333333333,28.3333333333333,102.166666666667,3.63333333333333,0.5,5.33333333333333,18.3333333333333,54.1666666666667,41.6666666666667,12.5,3.5,26.5,1.16666666666667,0.166666666666667,0.833333333333333,0.166666666666667,0,4.5,0,5.16666666666667,1,2,58.3333333333333,0,2.16666666666667,2.16666666666667,100,1.66666666666667,47,27.46,0,29.1666666666667,3.5,24.3333333333333,8.75,0,14.8333333333333,5.5,241.166666666667,43.9833333333333,20.3333333333333,6.16666666666667,15.5,37.2666666666667,0.5,1,33.3333333333333,6.83333333333333,56.6666666666667,338.166666666667,0,0.666666666666667
2018-09-23,"PHI","IND",24.8333333333333,41,60.3166666666667,224.333333333333,5.4,9.98333333333333,1.16666666666667,1.5,4.16666666666667,24.3333333333333,70.1666666666667,11,23.3333333333333,100.666666666667,4.23333333333333,0.666666666666667,6.66666666666667,20.1666666666667,57,42.3333333333333,14.6666666666667,3,17.1666666666667,0.833333333333333,0,0.833333333333333,0.333333333333333,0,4.33333333333333,0,2.16666666666667,0.333333333333333,0.666666666666667,50,0,1.16666666666667,1.33333333333333,91.675,2.33333333333333,56.8333333333333,23.7333333333333,0,17.8333333333333,3.16666666666667,20.5,7.01666666666667,0,14.6666666666667,5.5,279.666666666667,51.0333333333333,19.8333333333333,4.83333333333333,14.5,32.1666666666667,0.833333333333333,2.33333333333333,19.7166666666667,8,72.8333333333333,325,0,1.33333333333333
2018-09-23,"GB","WAS",22.8333333333333,38.8333333333333,58.8166666666667,254.166666666667,6.56666666666667,12.3,2,0.833333333333333,3.5,24.8333333333333,89.85,12.6666666666667,24.5,79.8333333333333,3.35,0.5,5,24.8333333333333,54.8333333333333,40.6666666666667,14.1666666666667,1.83333333333333,9.83333333333333,0.833333333333333,0.333333333333333,1,0.5,0,2.83333333333333,0,9,2,2.16666666666667,96.66,0,3,3,100,3.83333333333333,75.5,17.8166666666667,0,21.6666666666667,1.5,12.8333333333333,4.38333333333333,0,7,4.5,210.833333333333,46.6,20.8333333333333,5.66666666666667,14.3333333333333,39.1166666666667,0.5,1.33333333333333,19.45,8.33333333333333,71.1666666666667,334,0,0.333333333333333
2018-09-23,"LA","LAC",17.8333333333333,29.5,60.1333333333333,158.833333333333,5.23333333333333,9.48333333333333,0.833333333333333,1,2.33333333333333,17.6666666666667,70.75,8.16666666666667,29,104.666666666667,3.7,1,6.16666666666667,18.1666666666667,53.3333333333333,34.3333333333333,19,1.83333333333333,11.3333333333333,1.16666666666667,0.166666666666667,0.5,0.5,0,5,0,6,1.5,1.83333333333333,86.6666666666667,0,1.5,1.5,100,3,73.1666666666667,24.3,0,25.8333333333333,3,42.3333333333333,11.4666666666667,0,24.1666666666667,5,205.166666666667,44.3333333333333,16.5,5.33333333333333,14.3333333333333,36.1333333333333,0.333333333333333,1,22.2166666666667,7.5,63.5,263.5,0,0.5
2018-09-23,"CHI","ARI",24.1428571428571,36.8571428571429,66.9285714285714,223,6.31428571428571,9.72857142857143,1.28571428571429,1.14285714285714,2,10.2857142857143,84.7714285714286,11.4285714285714,26.5714285714286,109.714285714286,4.05714285714286,0.857142857142857,6,22.7142857142857,48.8571428571429,39.8571428571429,9,4.28571428571429,23,1,0.571428571428571,1,0.428571428571429,0,3.71428571428571,0,7.71428571428571,1.71428571428571,2.14285714285714,83.3428571428571,3.14285714285714,2.57142857142857,2.57142857142857,100,2,41.2857142857143,19.5714285714286,0,21.2857142857143,2.71428571428571,26.2857142857143,8.85,0,13.8571428571429,4,190.428571428571,47.7714285714286,21,5.57142857142857,13.7142857142857,40.8857142857143,0.571428571428571,1.28571428571429,47.6142857142857,8.28571428571429,78.4285714285714,332.714285714286,-0.285714285714286,0.571428571428571
